City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Vila Franca Do Campo,PT,76.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
143,Lingao,CN,82.76,light rain,19.9103,109.6859,Lingao Ditai Inn
145,Ponta Do Sol,PT,76.12,clear sky,32.6667,-17.1,Hotel do Campo
146,Migori,KE,82.4,broken clouds,-1.0634,34.4731,"Calabash Hotel, Migori"
147,Labuhan,ID,84.18,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
152,Cayenne,GF,86.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
154,Prieska,ZA,85.41,broken clouds,-29.6641,22.7474,Avenue GuestHouse
155,Kutum,SD,88.38,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
156,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
162,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
164,El Limon,VE,75.0,broken clouds,10.3059,-67.6321,Campamento Valle Beraca
166,Manggar,ID,75.16,overcast clouds,-2.8833,108.2667,Guest Hotel
173,Bonoua,CI,80.22,light rain,5.2741,-3.595,Hotel Bon Samaritian
174,Cururupu,BR,85.28,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
176,Ribeira Grande,PT,75.6,mist,38.5167,-28.7,Quinta da Meia Eira
179,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
182,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
189,Lakatoro,VU,77.88,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
190,Urucui,BR,89.44,light rain,-7.2294,-44.5561,Hotel Premium Piauí
196,Ugoofaaru,MV,82.35,overcast clouds,5.6667,73.0,Ungoofaaru Inn
200,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
204,Mahibadhoo,MV,82.92,scattered clouds,3.7833,72.9667,Omadhoo Inn
207,Lorengau,PG,78.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
212,Caluquembe,AO,88.84,few clouds,-13.7833,14.6833,Hotel Kalukembe
215,Kangavar,IR,85.48,clear sky,34.5043,47.9653,محمد جوادرضایی
218,Trinidad,BO,76.98,smoke,-14.8333,-64.9,Hotel Piesta
222,Road Town,VG,82.99,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
224,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
225,Kimberley,ZA,78.49,thunderstorm,-28.7323,24.7623,Welgewandel Guesthouse
230,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
231,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
234,Tirumullaivasal,IN,85.3,overcast clouds,11.2333,79.8333,Almupaark complex
239,Lazaro Cardenas,MX,76.53,broken clouds,17.9583,-102.2,quinta antigua
245,Acapulco,MX,76.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
248,Ilula,TZ,81.19,broken clouds,-7.6766,36.0366,FM Lodge
249,Faanui,PF,78.62,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Kavaratti,IN,81.75,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
259,Bubaque,GW,81.77,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Lethem,GY,81.79,overcast clouds,3.3803,-59.7968,Savannah Inn
262,Tual,ID,81.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
264,Irece,BR,80.49,scattered clouds,-11.3042,-41.8558,RADAR INN HOTEL
266,Kaffrine,SN,85.89,broken clouds,14.1059,-15.5508,Beuleup counda motel
268,Maragogi,BR,78.94,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
269,Agbor,NG,81.28,light rain,6.2518,6.1934,MIRAMAS HOTEL
270,Gigmoto,PH,81.81,overcast clouds,13.7796,124.39,Cj's Travellers Inn
271,Dawei,MM,80.13,overcast clouds,14.0833,98.2,Hotel Dawei
273,Kahului,US,77.02,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
277,Mottola,IT,77.45,scattered clouds,40.6353,17.0353,Villaggio Vecchia Mottola
278,Porto Walter,BR,77.18,broken clouds,-8.2686,-72.7439,Secretaria de saúde
279,Gonaives,HT,78.4,clear sky,19.45,-72.6833,Vertières Doux Séjour
281,Victoria,HK,87.22,light rain,22.2855,114.1577,Mini Hotel Central
296,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
297,Sao Jose Da Coroa Grande,BR,79.14,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
298,Trairi,BR,86.5,broken clouds,-3.2778,-39.2689,janelas do mar
300,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
304,Dingle,PH,76.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
306,Puerto Cabello,VE,81.36,overcast clouds,10.4731,-68.0125,Hotel Cumboto
308,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
314,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
316,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
318,Zaria,NG,89.17,overcast clouds,11.1113,7.7227,Nubapoly Guest Inn
321,Veraval,IN,82.62,few clouds,20.9,70.3667,Lords Inn Somnath
322,Richards Bay,ZA,81.19,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
328,Qixingtai,CN,79.77,light rain,30.4135,111.8874,Sunny Hotel
334,Nong Bua,TH,82.67,broken clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
335,Yarada,IN,84.7,light rain,17.65,83.2667,Jeevan
336,Shaoguan,CN,83.05,light rain,24.8,113.5833,Shangcheng Hotel
339,Pasni,PK,77.68,heavy intensity rain,25.2631,63.471,Kashmiri Hotal
342,Sola,VU,79.11,overcast clouds,-13.8833,167.55,Leumerus Bungalows
344,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
348,Mbaiki,CF,81.25,overcast clouds,3.8678,17.9892,Motel MBM
350,Nishihara,JP,82.45,scattered clouds,26.1842,127.7558,Minshuku Agaihama
357,Kavieng,PG,82.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
359,Naze,JP,76.41,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
367,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
368,Bandarbeyla,SO,83.73,few clouds,9.4942,50.8122,JABIR HOTEL
371,Mango,US,75.11,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
372,Gizo,SB,82.42,overcast clouds,-8.103,156.8419,Imagination Island
376,Sao Filipe,CV,79.81,broken clouds,14.8961,-24.4956,Hotel Xaguate
377,Kudahuvadhoo,MV,83.16,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
379,Salalah,OM,86.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
383,Karad,IN,80.55,broken clouds,17.2833,74.2,Hotel Sugam Lodging
384,Itarema,BR,85.78,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
385,Dicabisagan,PH,80.2,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
386,Khutar,IN,84.25,broken clouds,28.2,80.2833,Nitesh Shukla ji LVWPL
389,Kieta,PG,78.6,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
391,Isangel,VU,75.2,overcast clouds,-19.55,169.2667,Tanna Lodge
393,Baracoa,CU,79.88,broken clouds,20.3467,-74.4958,Hostal Rio Miel
399,Bonthe,SL,85.48,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
400,Faranah,GN,84.25,scattered clouds,10.0404,-10.7434,Chez mon oncle
401,Kroya,ID,77.23,light rain,-7.6331,109.2461,RUSTANTO Fam
404,Bocas Del Toro,PA,82.08,clear sky,9.3333,-82.25,Hotel Bocas del Toro
408,Flic En Flac,MU,76.51,few clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
415,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
418,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
426,Along,IN,76.68,broken clouds,28.1667,94.7667,Hotel West
427,Haldia,IN,81.66,overcast clouds,22.0605,88.1097,Prayag Balaji Hotel
429,Kalmunai,LK,78.94,light rain,7.4167,81.8167,VS Villa
436,Alta Floresta,BR,77.59,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
