City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Yellowknife,CA,2021-09-27 20:01:12,62.456,-114.3525,51.42,70,11,4.0
107,Upernavik,GL,2021-09-27 20:02:44,72.7868,-56.1549,26.13,56,24,3.42
108,Sur,OM,2021-09-27 20:02:44,22.5667,59.5289,83.77,68,63,9.46
109,Butaritari,KI,2021-09-27 20:02:44,3.0707,172.7902,83.57,73,88,19.42
110,Vaini,TO,2021-09-27 20:02:45,-21.2,-175.2,75.36,78,20,3.44
111,Korla,CN,2021-09-27 20:02:45,41.7597,86.1469,65.7,26,0,2.77
112,Tarko-Sale,RU,2021-09-27 20:02:45,64.9225,77.785,32.86,83,68,7.81
113,Srednekolymsk,RU,2021-09-27 20:02:46,67.45,153.6833,24.98,93,100,17.87
114,Mar Del Plata,AR,2021-09-27 19:58:01,-38.0023,-57.5575,53.06,70,75,7.0
115,Yefremov,RU,2021-09-27 20:02:46,53.1481,38.0992,47.59,88,100,10.78
116,Tasiilaq,GL,2021-09-27 20:02:47,65.6145,-37.6368,37.56,69,2,6.29
117,Tuy Hoa,VN,2021-09-27 20:01:55,13.0833,109.3,75.56,90,92,4.94
118,Airai,TL,2021-09-27 20:02:47,-8.9266,125.4092,57.25,77,48,2.28
119,Luganville,VU,2021-09-27 20:02:47,-15.5333,167.1667,77.4,84,90,10.04
120,Inuvik,CA,2021-09-27 20:02:48,68.3499,-133.7218,27.57,89,9,8.86
121,Thinadhoo,MV,2021-09-27 20:02:48,0.5333,72.9333,83.12,74,100,16.64
122,Nesna,NO,2021-09-27 20:02:49,66.1967,13.0213,62.71,76,92,20.6
123,Kamenka,RU,2021-09-27 20:02:49,51.3223,42.7678,45.57,94,100,6.38
124,Alyangula,AU,2021-09-27 20:02:50,-13.8483,136.4192,76.86,83,100,4.12
125,Kavaratti,IN,2021-09-27 20:02:50,10.5669,72.642,81.52,79,100,20.11
126,Evensk,RU,2021-09-27 20:02:50,61.95,159.2333,39.16,55,100,4.07
127,Carnarvon,AU,2021-09-27 20:02:51,-24.8667,113.6333,62.08,67,6,11.88
128,Qaqortoq,GL,2021-09-27 20:02:51,60.7167,-46.0333,37.9,47,0,0.78
129,Caravelas,BR,2021-09-27 20:02:51,-17.7125,-39.2481,75.67,77,58,8.97
130,Kinango,KE,2021-09-27 20:02:52,-4.1372,39.3153,68.22,95,19,4.29
131,Provideniya,RU,2021-09-27 20:02:52,64.3833,-173.3,28.51,80,90,11.18
132,Padang,ID,2021-09-27 20:02:52,-0.9492,100.3543,77.47,88,32,3.83
133,Key Largo,US,2021-09-27 20:00:04,25.0865,-80.4473,90.0,59,0,16.78
134,Lebu,CL,2021-09-27 20:01:22,-37.6167,-73.65,53.71,62,18,18.25
135,Mandalgovi,MN,2021-09-27 20:02:53,45.7625,106.2708,43.3,43,46,14.25
136,Alofi,NU,2021-09-27 20:02:53,-19.0595,-169.9187,78.69,69,40,12.66
137,Sarh,TD,2021-09-27 20:02:53,9.1429,18.3923,75.22,82,38,2.86
138,Yar-Sale,RU,2021-09-27 20:02:54,66.8333,70.8333,32.92,83,0,9.46
139,Bethel,US,2021-09-27 20:01:35,41.3712,-73.414,78.03,57,25,1.99
140,Barsovo,RU,2021-09-27 20:02:54,61.1667,73.1667,35.73,92,7,6.04
141,Wattegama,LK,2021-09-27 20:02:55,6.7989,81.4808,78.49,65,69,8.37
142,Pinega,RU,2021-09-27 20:02:55,64.7001,43.3936,45.5,86,97,4.05
143,Fairbanks,US,2021-09-27 20:02:12,64.8378,-147.7164,34.61,79,32,2.55
144,Ukmerge,LT,2021-09-27 20:02:55,55.25,24.75,49.68,93,4,7.34
145,Ketchikan,US,2021-09-27 20:02:56,55.3422,-131.6461,50.47,87,90,0.0
146,Clyde River,CA,2021-09-27 20:02:56,70.4692,-68.5914,30.09,81,84,11.7
147,Churapcha,RU,2021-09-27 20:02:56,62.0025,132.4325,32.95,74,38,11.95
148,Gat,IL,2021-09-27 20:02:57,31.61,34.7642,75.88,59,67,7.63
149,Khatanga,RU,2021-09-27 20:02:57,71.9667,102.5,26.65,81,41,7.87
150,Marystown,CA,2021-09-27 20:02:57,47.1666,-55.1483,62.85,100,97,10.0
151,Bubaque,GW,2021-09-27 20:02:58,11.2833,-15.8333,83.97,77,100,11.63
152,Tvoroyri,FO,2021-09-27 20:02:58,61.5556,-6.8111,47.59,82,100,11.34
153,Ugoofaaru,MV,2021-09-27 20:02:58,5.6667,73.0,81.09,80,100,17.52
154,Darhan,MN,2021-09-27 20:02:59,49.4867,105.9228,38.73,67,100,11.48
155,Thompson,CA,2021-09-27 20:02:59,55.7435,-97.8558,60.67,42,100,8.57
156,Tual,ID,2021-09-27 20:02:59,-5.6667,132.75,80.53,82,51,14.47
157,Helong,CN,2021-09-27 20:03:00,42.5397,128.9972,57.4,97,88,1.36
158,Hermanus,ZA,2021-09-27 20:03:00,-34.4187,19.2345,57.9,78,14,7.31
159,Egvekinot,RU,2021-09-27 20:03:00,66.3167,-179.1667,22.6,88,100,1.43
160,Mehamn,NO,2021-09-27 20:03:01,71.0357,27.8492,55.58,76,0,10.36
161,Hokitika,NZ,2021-09-27 20:03:01,-42.7167,170.9667,44.6,66,0,2.42
162,Redding,US,2021-09-27 20:02:55,40.5865,-122.3917,73.38,44,90,1.01
163,Synya,RU,2021-09-27 20:03:02,65.3718,58.0387,37.27,73,100,6.58
164,Manado,ID,2021-09-27 20:01:45,1.487,124.8455,75.97,100,40,0.0
165,Hami,CN,2021-09-27 20:03:02,42.8,93.45,64.69,19,1,3.53
166,Soyo,AO,2021-09-27 20:03:03,-6.1349,12.3689,75.58,83,84,7.47
167,Siuna,NI,2021-09-27 20:03:03,13.7332,-84.7773,86.4,62,93,3.38
168,Iquitos,PE,2021-09-27 20:03:03,-3.7481,-73.2472,93.61,43,68,1.97
169,Grindavik,IS,2021-09-27 20:03:04,63.8424,-22.4338,37.87,70,75,32.21
170,Kautokeino,NO,2021-09-27 20:03:04,69.0125,23.0412,47.64,91,100,16.62
171,Beyneu,KZ,2021-09-27 20:03:04,45.3167,55.2,58.41,53,80,13.85
172,Bhikhi,IN,2021-09-27 20:03:05,30.0667,75.5333,81.23,69,15,0.76
173,Yarmouth,US,2021-09-27 20:03:05,41.7057,-70.2286,75.25,71,1,10.0
174,Fomboni,KM,2021-09-27 20:03:05,-12.28,43.7425,76.44,74,0,2.73
175,Souillac,MU,2021-09-27 20:03:06,-20.5167,57.5167,71.37,69,21,14.83
176,Blythe,US,2021-09-27 20:01:11,33.6103,-114.5964,92.03,34,13,9.84
177,Saint-Andre-Avellin,CA,2021-09-27 20:03:06,45.7168,-75.066,59.83,95,100,3.94
178,Pisco,PE,2021-09-27 20:03:07,-13.7,-76.2167,65.01,77,0,8.05
179,Chongwe,ZM,2021-09-27 20:03:07,-15.3292,28.682,72.9,38,72,4.38
180,Gandajika,CD,2021-09-27 20:03:07,-6.75,23.95,71.1,79,88,3.44
181,Tombouctou,ML,2021-09-27 20:03:08,20.0,-3.0,92.28,10,0,5.95
182,Bonnyville,CA,2021-09-27 20:03:08,54.2668,-110.735,73.99,32,3,9.28
183,Norman Wells,CA,2021-09-27 20:03:09,65.282,-126.8329,33.84,86,90,2.3
184,Porbandar,IN,2021-09-27 20:03:09,21.6422,69.6093,79.99,87,100,6.33
185,Bonthe,SL,2021-09-27 20:03:09,7.5264,-12.505,76.39,86,100,13.24
186,Darnah,LY,2021-09-27 20:03:09,32.767,22.6367,74.84,70,3,17.92
187,Singapore,SG,2021-09-27 20:00:10,1.2897,103.8501,78.66,94,75,3.44
188,Torbay,CA,2021-09-27 20:03:10,47.6666,-52.7314,65.88,90,94,11.36
189,Kayerkan,RU,2021-09-27 20:03:10,69.3497,87.7602,30.36,70,30,4.56
190,Rio Gallegos,AR,2021-09-27 20:01:47,-51.6226,-69.2181,53.69,35,100,23.4
191,Bilibino,RU,2021-09-27 20:03:11,68.0546,166.4372,17.76,96,100,7.49
192,Havelock,US,2021-09-27 20:03:11,34.8791,-76.9013,81.99,52,2,3.0
193,Hay River,CA,2021-09-27 20:03:12,60.8156,-115.7999,49.05,64,87,15.3
194,Furano,JP,2021-09-27 20:03:12,43.2818,142.4743,46.94,96,99,4.29
