City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Olinala,MX,17.8333,-98.85,79.2,57,70,3.38,broken clouds
128,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,11.5,broken clouds
129,Kavaratti,IN,10.5669,72.642,81.43,80,99,18.21,overcast clouds
130,Vanimo,PG,-2.6741,141.3028,76.69,90,93,3.98,overcast clouds
131,Itarema,BR,-2.9248,-39.9167,83.66,66,7,18.68,clear sky
132,Bethel,US,41.3712,-73.414,68.58,88,90,8.05,overcast clouds
133,Quatre Cocos,MU,-20.2078,57.7625,72.09,76,98,16.28,light rain
134,Delta,NG,5.5,6.0,76.66,87,17,4.21,few clouds
135,Cherskiy,RU,68.75,161.3,6.85,91,37,3.67,scattered clouds
136,Huarmey,PE,-10.0681,-78.1522,68.43,72,23,9.15,few clouds
137,Lakes Entrance,AU,-37.8811,147.981,48.58,75,100,3.11,overcast clouds
138,Ancud,CL,-41.8697,-73.8203,56.73,58,84,5.68,broken clouds
139,Ponta Do Sol,PT,32.6667,-17.1,75.83,74,70,3.6,broken clouds
140,Barrow,US,71.2906,-156.7887,28.42,93,90,3.44,overcast clouds
141,Constitucion,CL,-35.3333,-72.4167,60.93,50,0,9.26,clear sky
142,Alugan,PH,12.2188,125.4808,77.7,89,100,4.92,overcast clouds
143,Cayenne,GF,4.9333,-52.3333,89.64,78,20,3.0,few clouds
144,Puyang,CN,29.4603,119.8861,73.54,83,0,1.25,clear sky
145,Half Moon Bay,US,37.4636,-122.4286,73.47,51,1,3.0,clear sky
146,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,9.22,overcast clouds
147,Kirakira,SB,-10.4544,161.9205,78.4,84,99,8.72,overcast clouds
148,Yar-Sale,RU,66.8333,70.8333,36.3,96,100,6.15,overcast clouds
149,Mahibadhoo,MV,3.7833,72.9667,82.04,80,100,14.74,overcast clouds
150,Bibiani,GH,6.4635,-2.3194,72.3,93,78,1.16,light rain
151,Manggar,ID,-2.8833,108.2667,80.69,82,98,7.23,overcast clouds
152,Pacific Grove,US,36.6177,-121.9166,73.69,69,1,4.0,clear sky
153,Dingle,PH,10.9995,122.6711,75.7,90,100,2.84,overcast clouds
154,Fairbanks,US,64.8378,-147.7164,29.23,83,40,1.14,scattered clouds
155,Nizhnyaya Omka,RU,55.4338,74.9426,37.11,78,100,10.78,overcast clouds
156,Anadyr,RU,64.75,177.4833,19.9,86,20,8.95,few clouds
