City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Georgetown,MY,5.4112,100.3354,80.89,75,40,1.01,scattered clouds
119,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,20,2.15,few clouds
120,Komsomolskoye,RU,55.2567,47.5461,56.62,58,72,9.64,broken clouds
121,Port Alfred,ZA,-33.5906,26.891,68.83,81,43,17.94,scattered clouds
122,Luwuk,ID,-0.9516,122.7875,77.63,92,92,3.29,overcast clouds
123,Gaoua,BF,10.2992,-3.2508,88.39,54,76,3.89,broken clouds
124,Broome,US,42.2506,-75.833,46.54,95,1,1.01,clear sky
125,Murgab,TM,37.4966,61.9714,75.07,29,0,13.8,clear sky
126,Pedernales,DO,18.0384,-71.744,80.89,70,11,2.68,few clouds
127,Sembakung,ID,3.8167,117.25,82.33,91,81,2.82,broken clouds
128,Tayshet,RU,55.9342,98.0044,44.11,86,100,13.15,overcast clouds
129,Smithers,CA,54.7804,-127.1743,41.32,100,90,2.3,light rain
130,Esperance,AU,-33.8667,121.9,64.24,93,89,10.02,light rain
131,Lata,PT,40.1629,-8.3327,75.49,50,97,5.82,overcast clouds
132,Harper,LR,4.375,-7.7169,80.92,77,70,6.87,light rain
133,Owando,CG,-0.4819,15.8999,88.9,49,100,1.97,overcast clouds
134,Kasongo-Lunda,CD,-6.4667,16.8167,88.05,50,97,4.14,overcast clouds
135,Naryan-Mar,RU,67.6713,53.087,40.48,62,67,3.96,broken clouds
136,Nichinan,JP,31.6,131.3667,74.88,82,35,4.94,scattered clouds
137,Bull Savanna,JM,17.8868,-77.5902,76.35,80,2,4.36,clear sky
138,Shagonar,RU,51.5333,92.8,44.37,86,100,1.77,overcast clouds
139,Karratha,AU,-20.7377,116.8463,75.33,62,1,23.02,clear sky
140,San Patricio,US,28.017,-97.5169,76.89,81,91,9.53,heavy intensity rain
141,Guerrero Negro,MX,27.9769,-114.0611,67.41,88,0,6.29,clear sky
142,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,71,34,0.49,scattered clouds
143,Lingao,CN,19.9103,109.6859,82.76,74,6,5.17,light rain
144,El Carmen,CO,8.5106,-73.4478,66.88,98,100,1.28,overcast clouds
145,Ponta Do Sol,PT,32.6667,-17.1,76.12,63,10,5.93,clear sky
146,Migori,KE,-1.0634,34.4731,82.4,37,79,4.34,broken clouds
147,Labuhan,ID,-6.8844,112.2051,84.18,63,99,1.28,overcast clouds
148,Chuy,UY,-33.6971,-53.4616,60.73,93,100,10.2,overcast clouds
149,Iqaluit,CA,63.7506,-68.5145,22.73,93,20,0.0,few clouds
150,Castro,BR,-24.7911,-50.0119,64.0,84,45,5.17,scattered clouds
151,Khatanga,RU,71.9667,102.5,27.39,97,97,2.95,overcast clouds
152,Cayenne,GF,4.9333,-52.3333,86.09,71,0,4.0,clear sky
153,Hermanus,ZA,-34.4187,19.2345,69.91,85,99,10.18,light rain
154,Prieska,ZA,-29.6641,22.7474,85.41,14,55,15.86,broken clouds
155,Kutum,SD,14.2,24.6667,88.38,14,4,3.29,clear sky
156,Saint-Georges,GD,12.0564,-61.7485,83.88,74,40,12.66,scattered clouds
157,Yermakovskoye,RU,53.2831,92.4003,43.14,71,100,14.85,light rain
158,Usak,TR,38.5,29.4167,67.98,20,0,7.72,clear sky
159,Kargat,RU,55.1956,80.2811,39.76,84,100,9.95,overcast clouds
160,Salta,AR,-24.7859,-65.4117,65.57,78,20,4.0,few clouds
161,Ladybrand,ZA,-29.1945,27.4574,63.27,69,100,17.05,light rain
162,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,19.57,broken clouds
163,Asau,RO,46.4333,26.4,63.75,35,48,5.7,scattered clouds
164,El Limon,VE,10.3059,-67.6321,75.0,80,72,1.19,broken clouds
165,Jamestown,US,42.097,-79.2353,49.32,99,75,3.44,mist
166,Manggar,ID,-2.8833,108.2667,75.16,89,100,5.17,overcast clouds
167,Lewistown,US,40.5992,-77.5714,47.55,93,1,1.57,clear sky
168,Kaeo,NZ,-35.1,173.7833,51.33,85,25,5.19,scattered clouds
